id,deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan
11922,Jembatan Gang Melati ada bagian yang ambles tidak rata,Jembatan,Jakarta Barat,Sedang,2025-06-15 15:53:51
11923,Tiang lampu jl Jalan Meruya patah miring hampir jatuh ke jalan,Lampu Jalan,Jakarta Pusat,Berat,2025-07-28 12:04:46
11924,Jembatan Jalan Gatot Subroto hampir roboh sangat mengancam keselamatan jiwa,Jembatan,Kepulauan Seribu,Berat,2025-04-30 17:34:54
11925,Trotoar Jalan Fatmawati perlu pengecatan ulang marka sudah pudar,Trotoar,Jakarta Barat,Ringan,2025-07-11 20:21:01
11926,Kabel fiber Jalan Daan Mogot tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Jakarta Selatan,Sedang,2025-12-31 01:45:57
11927,Saluran air taman Jalan Hayam Wuruk mampet menyebabkan genangan,Taman,Jakarta Barat,Sedang,2025-10-28 02:44:23
11928,Kondisi trotoar Jalan Ahmad Yani cukup memprihatinkan banyak kerusakan merata,Trotoar,Jakarta Timur,Sedang,2025-10-12 23:25:47
11929,Kabel fiber di Jalan Muara Baru rusak parah akibat korsleting,Kabel Fiber,Kepulauan Seribu,Sedang,2025-08-17 06:09:13
11930,Lampu jlan Jalan Rasuna Said meledak dan buat kebakaran kecil,Lampu Jalan,Jakarta Barat,Berat,2025-10-23 20:47:50
11931,Lampu jalan Jalan Casablanca kabelnya terkelupas berbahaya bila hujan,Lampu Jalan,Jakarta Pusat,Sedang,2025-06-30 18:48:12
11932,Aspal di atas jembatan Jalan Sudirman retak tipis perlu penambalan,Jembatan,Jakarta Barat,Ringan,2025-07-26 00:59:07
11933,Beberapa bata trotoar Jalan Pangeran Jayakarta retak ringan,Trotoar,Kepulauan Seribu,Ringan,2025-10-25 09:05:09
11934,Beberapa lampu jalan di Jalan Pluit mati menyebabkan jalan gelap,Lampu Jalan,Jakarta Barat,Sedang,2025-11-15 00:26:24
11935,Taman Jalan Muara Baru banyak vandalisme coretan di fasilitas umum,Taman,Kepulauan Seribu,Sedang,2025-02-18 10:42:14
11936,Paving trotoar Gang Mawar warnanya pudar perlu perawatan,Trotoar,Kepulauan Seribu,Ringan,2025-07-02 22:33:31
11937,Got Jalan Mangga Dua penuh sampah dan lumpur ga bisa mengalir,Drainase,Jakarta Barat,Sedang,2025-09-02 14:08:00
11938,Permukaan trotoar Jalan Otista sedikit tidak rata,Trotoar,Kepulauan Seribu,Ringan,2025-11-05 00:57:54
11939,Saluran air taman Jalan Pluit mampet menyebabkan genangan,Taman,Jakarta Utara,Sedang,2025-04-30 20:45:13
11940,Kabel fiber Jalan Cengkareng tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Jakarta Barat,Sedang,2025-09-18 03:04:10
11941,Satu bundel kabel fiber di Jalan Rasuna Said terlepas dari pengikat tiang,Kabel Fiber,Jakarta Barat,Ringan,2025-01-25 18:39:27
11942,Banjir merendam taman Jalan Ciledug Raya semua tanaman dan fasilitas rusak parah,Taman,Jakarta Pusat,Berat,2025-07-28 15:27:14
11943,Dua lampu jalan di Gang Anggrek mati sudah seminggu belum diperbaiki,Lampu Jalan,Jakarta Barat,Sedang,2025-08-06 00:12:41
11944,Drainase Jalan Gajah Mada alirannya sedikit terhambat,Drainase,Jakarta Pusat,Ringan,2025-08-08 09:49:16
11945,Kabel fiber Jalan Gajah Mada tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Jakarta Timur,Sedang,2025-09-08 12:23:26
11946,Ubin trotoar di Jalan Cengkareng banyak yang copot dan berlubang,Trotoar,Jakarta Utara,Sedang,2025-08-01 14:40:06
11947,Jalan Jalan Raya Bekasi amblas dalam dan lebar sangat mengancam keselamatan,Jalan,Jakarta Selatan,Berat,2025-10-21 22:00:22
11948,Lampu jalan Jalan Pangeran Jayakarta cahayanya mulai memudar,Lampu Jalan,Jakarta Selatan,Ringan,2025-07-22 10:31:51
11949,Lampu jalan Gang Anggrek mati pada jam tertentu saja,Lampu Jalan,Kepulauan Seribu,Ringan,2025-05-27 06:37:26
11950,Tiang lampu jalan Jalan Mangga Dua roboh sangat berbahaya menghalangi jalan,Lampu Jalan,Jakarta Timur,Berat,2025-08-16 01:20:16
11951,Pagar pengaman jembatan Gang Dahlia sedikit berkarat,Jembatan,Jakarta Pusat,Ringan,2025-07-27 14:12:38
11952,Lantai kayu jembatan Jalan Warung Buncit lapuk dan berlubang berbahaya,Jembatan,Jakarta Utara,Sedang,2025-04-03 12:16:46
11953,Penerangan jalan di Jalan Muara Baru gelap karena beberapa lampu mati,Lampu Jalan,Jakarta Pusat,Sedang,2025-10-01 18:47:21
11954,Ubin trotoar di Jalan Casablanca mulai longgar tapi masih aman,Trotoar,Jakarta Selatan,Ringan,2025-05-14 17:41:34
11955,Taman jln Mangga Dua hancur dan perlu dibangun ulang dari awal...,Taman,Jakarta Barat,Berat,2025-08-24 07:45:42
11956,Retakan halus di aspal jalan Jalan Fatmawati perlu perhatian,Jalan,Kepulauan Seribu,Ringan,2025-01-25 11:33:32
11957,Ada sedikit sampah di area taman Jalan Ahmad Yani,Taman,Kepulauan Seribu,Ringan,2025-07-18 03:03:54
11958,Pondasi jembatan Jalan Pramuka amblas darurat harus segera dievakuasi,Jembatan,Jakarta Timur,Berat,2025-03-11 06:06:08
11959,Lampu jalan Jalan Hayam Wuruk meledak dan membakar kabel di sekitarnya,Lampu Jalan,Jakarta Timur,Berat,2025-10-26 05:27:53
11960,Lampu jaln jln Pramuka casing nya sedikit retak tapi masih menyala,Lampu Jalan,Jakarta Timur,Ringan,2025-07-05 10:17:31
11961,Saluran got di Gang Mawar mampet total air meluap ke jln sudah 2 minggu belum diperbaiki,Drainase,Kepulauan Seribu,Sedang,2025-09-29 01:43:02
11962,Lampu jalan di Gang Anggrek redup tidak seterang biasanya,Lampu Jalan,Jakarta Utara,Ringan,2025-10-11 16:03:19
11963,Beberapa pot tanaman di taman Jalan Warung Buncit retak kecil,Taman,Jakarta Barat,Ringan,2025-01-28 02:49:18
11964,Area Jalan Muara Baru gelap gulita karena banyak lampu jalan mati,Lampu Jalan,Jakarta Selatan,Sedang,2025-07-04 10:38:50
11965,Kondisi jembatan Jalan Daan Mogot kritis hampir nggak layak digunakan darurat mutlak!!,Jembatan,Jakarta Barat,Berat,2025-08-25 23:00:02
11966,Banjir merendam taman Jalan Ciledug Raya semua tanaman dan fasilitas rusak parah,Taman,Jakarta Selatan,Berat,2025-01-03 18:42:03
11967,Lampu jalan Jalan Sudirman sering konslet menyebabkan mati berulang,Lampu Jalan,Kepulauan Seribu,Sedang,2025-01-15 06:33:32
11968,Lampu jaln Jalan Sisingamangaraja rusak dan jalan menjadi gelap berbahaya anak anak sering lewat sini,Lampu Jalan,Jakarta Barat,Sedang,2025-06-09 12:28:58
11969,Ada celah kecil di aspal jalan dekat Jalan Hayam Wuruk,Jalan,Jakarta Selatan,Ringan,2025-12-08 20:19:46
11970,Kondisi taman Jalan Mangga Dua sangat memperihatinkan rusak total perlu penanganan segera,Taman,Jakarta Utara,Berat,2025-08-10 07:54:25
11971,Lampu jalan Gang Anggrek cahayanya mulai memudar,Lampu Jalan,Jakarta Barat,Ringan,2025-10-08 18:40:02
11972,Satu bundel kabel fiber di Jalan Rasuna Said terlepas dari pengikat tiang warga sekitar sudah mengeluh,Kabel Fiber,Kepulauan Seribu,Ringan,2025-09-20 08:06:13
11973,Beberapa pot tanaman di taman Gang Mawar retak kecil,Taman,Kepulauan Seribu,Ringan,2025-02-19 16:20:36
11974,Permukaan trotoar Jalan Sisingamangaraja tidak rata berbahaya untuk lansia dan difabel,Trotoar,Kepulauan Seribu,Sedang,2025-07-16 02:33:14
11975,Tiang lampu jalan Jalan Sudirman patah miring hampir jatuh ke jalan,Lampu Jalan,Jakarta Utara,Berat,2025-03-04 06:00:22
11976,Aspal jalan Jalan Hayam Wuruk retak ringan di beberapa titik,Jalan,Jakarta Utara,Ringan,2025-05-05 21:34:40
11977,Seluruh lampu jalan di Jalan Casablanca mati total dan tidak ada penerangan sama sekali,Lampu Jalan,Jakarta Pusat,Berat,2025-05-21 22:11:22
11978,Lampu jalan Jalan Pluit kabelnya terkelupas berbahaya bila hujan,Lampu Jalan,Jakarta Selatan,Sedang,2025-11-03 03:05:57
11979,Saluran drainase di Jalan Haji Nawi rusak menyebabkan air tergenang,Drainase,Jakarta Utara,Sedang,2025-10-21 01:12:48
11980,Instalasi listrik lampu jalan Jalan Pluit terbakar sangat berbahaya,Lampu Jalan,Jakarta Barat,Berat,2025-06-20 09:55:47
11981,Jembatan Jalan Muara Baru terancam roboh akibat banjir besar melanda,Jembatan,Kepulauan Seribu,Berat,2025-01-19 09:10:42
11982,Cat jembatan di Gang Anggrek mulai mengelupas perlu dicat ulang,Jembatan,Kepulauan Seribu,Ringan,2025-10-10 02:52:11
11983,Jalur pejalan kaki di taman Jalan Kebon Jeruk rusak dan berlubang,Taman,Jakarta Selatan,Sedang,2025-06-19 14:39:39
11984,Paving trotoar Jalan Fatmawati warnanya pudar perlu perawatan,Trotoar,Jakarta Timur,Ringan,2025-12-27 18:02:46
11985,Kabel fiber Jalan Ciledug Raya melendut ke bawah perlu dirapikan,Kabel Fiber,Jakarta Pusat,Ringan,2025-11-08 04:15:35
11986,Kabel fiber Gang Dahlia terputus akibat tertimpa pohon,Kabel Fiber,Jakarta Timur,Sedang,2025-09-23 14:43:26
11987,Sistem drainase Jalan Raya Bekasi kolaps total banjir mengancam pemukiman warga,Drainase,Kepulauan Seribu,Berat,2025-08-13 13:02:40
11988,Drainase Jalan Raya Bekasi tidak berfungsi banjir setinggi lutut di pemukiman,Drainase,Jakarta Pusat,Berat,2025-07-27 05:53:46
11989,Seluruh jaringan kabel fiber di Jalan Pangeran Jayakarta putus total tidak ada sinyal,Kabel Fiber,Jakarta Timur,Berat,2025-09-19 10:57:53
11990,Lampu jalan Jalan Warung Buncit sering konslet menyebabkan mati berulang tolong segera ditangani,Lampu Jalan,Jakarta Utara,Sedang,2025-02-07 09:01:41
11991,Jembatan Jalan Mangga Dua ada sedikit kerusakan minor di permukaan,Jembatan,Jakarta Selatan,Ringan,2025-04-19 19:52:30
11992,Beberapa tanaman di taman Jalan Kebon Jeruk layu perlu disiram,Taman,Jakarta Utara,Ringan,2025-09-07 17:29:18
11993,Pagar jembatan di Jalan TB Simatupang rusak dan membahayakan pejalan kaki,Jembatan,Jakarta Pusat,Sedang,2025-05-22 22:41:12
11994,Trotoar Jalan Hayam Wuruk rusak parah pejalan kaki terpaksa jalan di badan jalan,Trotoar,Kepulauan Seribu,Sedang,2025-01-17 03:32:12
11995,Got Jalan Panjang penuh sampah dan lumpur tidak bisa mengalir,Drainase,Jakarta Timur,Sedang,2025-07-08 05:44:48
11996,Lampu jalan Jalan Warung Buncit kabelnya terkelupas berbahaya bila hujan,Lampu Jalan,Jakarta Pusat,Sedang,2025-10-22 06:40:39
11997,Instalasi kabel fiber di Jalan Panjang rusak dan mengganggu layanan,Kabel Fiber,Kepulauan Seribu,Sedang,2025-11-27 14:45:00
11998,Beberapa lampu jalan di Gang Mawar mati menyebabkan jalan gelap,Lampu Jalan,Jakarta Utara,Sedang,2025-03-13 12:15:32
11999,Rel jembatan Jalan Rasuna Said copot berbahaya bagi pengguna jalan,Jembatan,Jakarta Barat,Sedang,2025-03-29 00:30:07
12000,Taman Gang Mawar perlu pembersihan ringan daun daun berguguran,Taman,Jakarta Utara,Ringan,2025-06-30 09:35:05
12001,Saluran got Jalan Gajah Mada mulai menyempit karena endapan warga sekitar sudah mengeluh,Drainase,Kepulauan Seribu,Ringan,2025-09-11 03:14:14
12002,Kondisi taman Jalan Daan Mogot sangat memperihatinkan rusak total perlu penanganan segera,Taman,Jakarta Pusat,Berat,2025-02-03 15:32:26
12003,Beberapa bata trotoar Jalan Gajah Mada retak ringan,Trotoar,Jakarta Selatan,Ringan,2025-01-11 14:53:28
12004,Tiang lampu jalan Jalan Fatmawati roboh sangat berbahaya menghalangi jalan,Lampu Jalan,Jakarta Utara,Berat,2025-07-27 14:31:04
12005,Bunga di taman jl Casablanca layu karena kurang air,Taman,Jakarta Timur,Ringan,2025-10-05 22:50:55
12006,Ada retakan tipis di permukaan jalan Jalan Gunung Sahari,Jalan,Kepulauan Seribu,Ringan,2025-11-18 17:38:08
12007,Tiang kabel fiber Gang Anggrek miring hampir roboh,Kabel Fiber,Kepulauan Seribu,Sedang,2025-01-28 07:03:58
12008,Tiang kabel fiber Jalan Rasuna Said miring hampir roboh warga sekitar sudah mengeluh,Kabel Fiber,Jakarta Timur,Sedang,2025-03-17 14:20:51
12009,Kabel fiber Jalan Sudirman tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Kepulauan Seribu,Sedang,2025-08-09 01:22:32
12010,Ada retakan tipis di permukaan jalan Jalan Gunung Sahari,Jalan,Jakarta Barat,Ringan,2025-10-25 05:15:43
12011,Kerusakan massal kabel fiber di Jalan Meruya menyebabkan wilayah luas tanpa internet,Kabel Fiber,Jakarta Utara,Berat,2025-01-07 13:00:24
12012,Pohon besar di taman Jalan Rasuna Said tumbang dan merusak fasilitas sekitar,Taman,Jakarta Selatan,Berat,2025-08-16 16:30:07
12013,Pondasi jembatan Jalan Pramuka amblas darurat harus segera dievakuasi,Jembatan,Jakarta Barat,Berat,2025-10-28 20:10:17
12014,Jalur kabel fiber di Jalan Casablanca tidak tertata dengan baik,Kabel Fiber,Jakarta Timur,Ringan,2025-10-16 21:59:11
12015,Ada sedikit sampah di area taman Jalan Rasuna Said dekat sekolah SD,Taman,Jakarta Barat,Ringan,2025-07-11 10:48:56
12016,Paving trotoar Jalan Meruya warnanya pudar perlu perawatan,Trotoar,Jakarta Barat,Ringan,2025-08-03 06:59:25
12017,Beberapa tanaman di taman Jalan Sudirman layu perlu disiram,Taman,Jakarta Selatan,Ringan,2025-05-19 13:30:16
12018,Trotoar Jalan Panjang ambles di beberapa titik berbahaya pejalan kaki,Trotoar,Jakarta Selatan,Sedang,2025-12-12 03:44:47
12019,Kabel lampu jalan Jalan Daan Mogot putus dan terurai berbahaya menyetrum,Lampu Jalan,Jakarta Pusat,Berat,2025-05-11 07:28:22
12020,Beberapa pot tanaman di taman Jalan Mangga Dua retak kecil,Taman,Jakarta Selatan,Ringan,2025-03-12 14:46:19
12021,Ubin trotoar di jln Pangeran Jayakarta mulai longgar tapi masih aman,Trotoar,Jakarta Utara,Ringan,2025-05-22 16:34:09
12022,Beton jembatan Jalan Rasuna Said retak ringan di bagian pinggir,Jembatan,Jakarta Timur,Ringan,2025-06-05 23:26:41
12023,Lantai kayu jembatan Jalan Fatmawati lapuk dan berlubang berbahaya,Jembatan,Jakarta Pusat,Sedang,2025-10-19 01:45:07
12024,Lampu jalan di gang Jalan Pluit kurang terang perlu perhatian,Lampu Jalan,Jakarta Utara,Ringan,2025-09-12 03:48:59
12025,Lampu jln Jalan Kebon Jeruk mati pada jam tertentu saja,Lampu Jalan,Jakarta Selatan,Ringan,2025-02-27 03:20:47
12026,Jalan Jalan Mangga Dua amblas sedikit dan berlubang,Jalan,Jakarta Selatan,Sedang,2025-07-16 07:50:14
12027,Pagar jembatan di Jalan Gatot Subroto rusa dan membahayakan pejalaan kaki,Jembatan,Jakarta Selatan,Sedang,2025-09-28 11:04:20
12028,Taman Jalan Mangga Dua banyak vandalisme coretan di fasilitas umum,Taman,Jakarta Timur,Sedang,2025-08-14 09:47:26
12029,Got besar di Jalan Raya Pasar Minggu amblas menyebabkan jalan ikut rusak,Drainase,Jakarta Barat,Berat,2025-08-02 20:23:03
12030,Instalasi listrik lampu jalan Jalan Daan Mogot terbakar sangat berbahaya,Lampu Jalan,Jakarta Utara,Berat,2025-11-14 17:00:38
12031,Lantai jembatan Jalan Raya Kembangan berlubang berbahaya bagi kendaraan,Jembatan,Jakarta Pusat,Sedang,2025-09-07 16:47:13
12032,Jembatan Gang Dahlia rusak berat tidak layak dilalui kendaraan apapun,Jembatan,Jakarta Selatan,Berat,2025-02-28 18:14:16
12033,Kondisi jembatan Gang Mawar kritis hampir tidak layak digunakan darurat mutlak,Jembatan,Jakarta Timur,Berat,2025-07-11 22:03:11
12034,Jembatan jln Kebon Jeruk bergetar berlebihan saat dilalui kendaraan ini sudah lama dibiarkan,Jembatan,Jakarta Utara,Sedang,2025-08-11 16:27:03
12035,Drainase Jalan Fatmawati kurang bersih perlu segera diperhatikan,Drainase,Jakarta Pusat,Ringan,2025-04-30 20:19:47
12036,Drainase Jalan Casablanca jebol bikin banjir parah di pemukiman warga ini jalan protokol yang ramai,Drainase,Jakarta Pusat,Berat,2025-12-29 11:24:12
12037,Jembatan Jalan Hayam Wuruk ada bagian yang ambles tidak rata,Jembatan,Jakarta Barat,Sedang,2025-12-08 06:49:34
12038,Kabel fiber Jalan Fatmawati terbakar menyebabkan pemadaman internet massal,Kabel Fiber,Jakarta Pusat,Berat,2025-10-05 07:19:39
12039,Jembatan Jalan Kebon Jeruk ada retakan kecil di permukaan beton,Jembatan,Jakarta Pusat,Ringan,2025-06-05 08:49:20
12040,Trotoar Jalan Rasuna Said tidak bisa digunakan sama sekali kondisi darurat,Trotoar,Jakarta Timur,Berat,2025-08-02 10:04:20
12041,Got besar di Jalan Pramuka amblas menyebabkan jalan ikut rusak,Drainase,Jakarta Utara,Berat,2025-06-24 15:54:33
12042,Rel jembatan Jalan Gatot Subroto copot berbahaya bagi pengguna jalan,Jembatan,Kepulauan Seribu,Sedang,2025-11-05 12:12:34
12043,Kabel lampu jalan di Jalan Panjang tampak menjuntai berbahaya,Lampu Jalan,Jakarta Barat,Sedang,2025-09-01 20:12:51
12044,Rel pagar jembatan di Jalan Cengkareng berkarat perlu perawatan,Jembatan,Jakarta Pusat,Ringan,2025-03-31 08:43:47
12045,Kerusakan jalan di Jalan Fatmawati cukup parah ada beberapa lubang,Jalan,Jakarta Selatan,Sedang,2025-03-15 02:24:07
12046,Trotoar Jalan Raya Kembangan banyak ubin pecah sangat tidak nyaman dilalui,Trotoar,Jakarta Selatan,Sedang,2025-11-17 23:42:24
12047,Taman Jalan Casablanca hancur total akibat banjir semua fasilitas rusak,Taman,Jakarta Barat,Berat,2025-03-23 22:32:58
12048,Kabel fiber Jalan Kebon Jeruk putus massal akibat bencana menyebabkan blackout digital,Kabel Fiber,Kepulauan Seribu,Berat,2025-11-13 18:59:29
12049,Jalur pejalan kaki di taman Jalan Gunung Sahari rusak dan berlubang,Taman,Jakarta Selatan,Sedang,2025-12-09 15:26:46
12050,Kabel fiber Jalan Otista melendut ke bawah perlu dirapikan,Kabel Fiber,Kepulauan Seribu,Ringan,2025-03-31 06:40:30
12051,Instalasi kabel fiber Jalan Hayam Wuruk kurang rapi mengganggu estetika dekat sekolah SD,Kabel Fiber,Jakarta Utara,Ringan,2025-01-07 21:35:22
12052,Saluran got Jalan Gunung Sahari hancur total menyebabkan banjir besar,Drainase,Jakarta Timur,Berat,2025-11-09 15:35:48
12053,Beberapa pot tanaman di taman Jalan Gunung Sahari retak kecil,Taman,Kepulauan Seribu,Ringan,2025-08-25 22:11:26
12054,Taman Jalan Haji Nawi sedikit kotor ada sampah berserakan,Taman,Jakarta Utara,Ringan,2025-09-04 18:55:12
12055,Got Jalan Cengkareng ada sedikit sampah yang menghambat aliran air,Drainase,Jakarta Timur,Ringan,2025-02-26 19:09:11
12056,Beberapa pot tanaman di taman Jalan Kebon Jeruk retak kecil,Taman,Jakarta Pusat,Ringan,2025-12-19 08:05:49
12057,Drainase Jalan Hayam Wuruk tidak berfungsi banjir setinggi lutut di pemukiman,Drainase,Jakarta Pusat,Berat,2025-12-31 05:59:44
12058,Beton jembatan Jalan Mangga Dua patah sebagian sangat darurat,Jembatan,Kepulauan Seribu,Berat,2025-04-05 16:48:44
12059,Jembatan Jalan Rasuna Said kondisi memperihatinkan perlu diperbaiki secepatnya,Jembatan,Kepulauan Seribu,Sedang,2025-01-28 12:11:22
12060,Ada kerusakan jalan di Jalan Rasuna Said dengan lubang sedang,Jalan,Jakarta Timur,Sedang,2025-04-22 18:16:55
12061,Trotoar di Jalan Mangga Dua hancur akibat banjir pejalan kaki tidak bisa lewat,Trotoar,Jakarta Utara,Berat,2025-12-04 16:23:17
12062,Kabel fiber di Jalan Hayam Wuruk kondisinya kurang baik perlu pengecekan,Kabel Fiber,Jakarta Selatan,Ringan,2025-06-12 08:04:53
12063,Rel jembatan Jalan Pramuka copot berbahaya bagi pengguna jalan,Jembatan,Jakarta Selatan,Sedang,2025-09-20 05:20:34
12064,Lantai jembatan jln Pluit ada retakan tipis perlu pengecekan,Jembatan,Kepulauan Seribu,Ringan,2025-09-29 07:05:16
12065,Kabel fiber Jalan Muara Baru terbakar menyebabkan pemadaman internet massal,Kabel Fiber,Jakarta Barat,Berat,2025-01-02 07:22:25
12066,Sambungan kabel fiber di Jalan Sudirman terputus layanan internet terganggu,Kabel Fiber,Kepulauan Seribu,Sedang,2025-04-01 06:57:58
12067,Kondisi trotoar Jalan Ciledug Raya sangat kritis dan berbahaya harus segera diperbaiki,Trotoar,Jakarta Barat,Berat,2025-03-17 04:27:30
12068,URGENT!! Saluran induk drainase jl Daan Mogot tersumbat total banjir meluas ke mana mana mohon segera ditindaklanjuti,Drainase,Jakarta Timur,Berat,2025-04-11 21:19:55
12069,Penyangga jembatan Jalan Mangga Dua terlihat retak perlu inspeksi,Jembatan,Jakarta Utara,Sedang,2025-10-01 09:28:37
12070,Terdapat lubang sedang di jalan Jalan Casablanca yang mengganggu kendaraan,Jalan,Jakarta Timur,Sedang,2025-09-13 11:28:06
12071,Laporan: Penyangga jembatan Jalan Ciledug Raya terlihat retak perlu inspeksi,Jembatan,Jakarta Pusat,Sedang,2025-07-27 16:37:45
12072,Kerusakan masif trotoar Jalan Otista membahayakan jiwa pejalan kaki,Trotoar,Kepulauan Seribu,Berat,2025-07-21 04:05:12
12073,Jembatan Jalan Sudirman rusak berat tidak layak dilalui kendaraan apapun,Jembatan,Kepulauan Seribu,Berat,2025-03-25 23:50:23
12074,Jembatan Jalan Haji Nawi terancam roboh akibat banjir besar melanda,Jembatan,Jakarta Selatan,Berat,2025-01-17 13:11:54
12075,Lampu jalan di Jalan Muara Baru redup tidak seterang biasanya,Lampu Jalan,Jakarta Pusat,Ringan,2025-09-14 17:20:24
12076,Trotoar Jalan Gunung Sahari rusak berat ada yang ambles ke saluran drainase bawahnya,Trotoar,Kepulauan Seribu,Berat,2025-05-31 20:13:19
12077,Rel jembatan Jalan Gunung Sahari copot berbahaya bagi pengguna jalan,Jembatan,Jakarta Selatan,Sedang,2025-08-13 01:43:43
12078,Kerusakan struktural jembatan Jalan Ciledug Raya sangat kritis bahaya roboh,Jembatan,Jakarta Selatan,Berat,2025-09-27 17:11:13
12079,Drainase Jalan Meruya tersumbat menyebabkan genangan air saat hujan,Drainase,Jakarta Utara,Sedang,2025-01-19 05:54:23
12080,Drainase Jalan Gatot Subroto kurang bersih perlu segera diperhatikan,Drainase,Jakarta Timur,Ringan,2025-09-15 05:33:38
12081,Jembatan Gang Melati ada bagian yang ambles tidak rata,Jembatan,Jakarta Utara,Sedang,2025-11-21 09:25:29
12082,Bangku taman di Jalan Sudirman rusak dan tidak bisa digunakan...,Taman,Jakarta Pusat,Sedang,2025-11-07 12:13:04
12083,Lampu  jlan  Jalan  Fatmawati  sering  konslet  menyebabkan  mati  berulang,Lampu Jalan,Jakarta Barat,Sedang,2025-07-07 07:01:54
12084,JEMBATAN GANG ANGGREK AMBLES PARAH DAN MENUTUP AKSES JALAN UTAMA,Jembatan,Jakarta Barat,Berat,2025-09-10 12:02:06
12085,Kabel fiber Gang Dahlia putus massal akibat bencana bikin blackout digital,Kabel Fiber,Jakarta Barat,Berat,2025-08-06 23:25:57
12086,Lampu jalan Gang Melati rusak dan jalan menjadi gelap berbahaya,Lampu Jalan,Kepulauan Seribu,Sedang,2025-03-17 00:15:13
12087,Got Jalan Pramuka retak dan bocor air merembes ke jalan,Drainase,Jakarta Barat,Sedang,2025-12-29 12:19:38
12088,Tiang lampu jalan Jalan Muara Baru sedikit miring namun masih aman,Lampu Jalan,Jakarta Barat,Ringan,2025-01-17 09:50:56
12089,Tiang kabel fiber di Jalan Ahmad Yani roboh menimpa kendaraan yang lewat,Kabel Fiber,Jakarta Timur,Berat,2025-11-16 09:36:05
12090,Instalasi kabel fiber Jalan Sudirman hancur total akibat tertimpa pohon besar tumbang,Kabel Fiber,Jakarta Selatan,Berat,2025-11-03 13:51:15
12091,Sambungan kabel fiber di Jalan Gunung Sahari terputus layanan internet terganggu,Kabel Fiber,Kepulauan Seribu,Sedang,2025-05-28 20:45:14
12092,Rel pagar jembatan di Jalan Warung Buncit berkarat perlu perawatan,Jembatan,Jakarta Utara,Ringan,2025-11-02 07:06:03
12093,Jembatan Jalan Pluit terancam roboh akibat banjir besar melanda,Jembatan,Jakarta Selatan,Berat,2025-12-31 22:06:24
12094,Jembatan Jalan Mangga Dua rusak berat tidak layak dilalui kendaraan apapun,Jembatan,Kepulauan Seribu,Berat,2025-07-08 12:27:11
12095,Pohon tumbang besar di taman Jalan Muara Baru sangat membahayakan warga sekitar,Taman,Jakarta Pusat,Berat,2025-03-17 08:23:53
12096,Tiang kabel fiber Jalan Fatmawati roboh dan kabel berantakan di jalan sangat berbahaya,Kabel Fiber,Jakarta Selatan,Berat,2025-06-10 02:18:48
12097,Jalur kabel fiber di Jalan Meruya tidak tertata sama baik,Kabel Fiber,Jakarta Barat,Ringan,2025-01-18 20:21:29
12098,Kerusakan massal kabel fiber di Jalan Raya Bekasi menyebabkan wilayah luas tanpa internet,Kabel Fiber,Jakarta Barat,Berat,2025-10-30 12:09:10
12099,Beton jembatan Jalan Raya Pasar Minggu patah sebagian sangat darurat,Jembatan,Jakarta Utara,Berat,2025-10-12 02:48:53
12100,Jembatan Jalan Panjang ambles parah dan menutup akses jalan utama,Jembatan,Kepulauan Seribu,Berat,2025-02-21 00:32:19
12101,Tiang lampu Jalan Cengkareng roboh hampir menimpa rumah warga,Lampu Jalan,Jakarta Timur,Berat,2025-09-14 02:02:24
12102,Ubin trotoar di Jalan Ahmad Yani banyak yang copot dan berlubang,Trotoar,Kepulauan Seribu,Sedang,2025-12-25 13:47:02
12103,Kerusakan struktural jembatan Jalan Haji Nawi sangat kritis bahaya roboh,Jembatan,Jakarta Timur,Berat,2025-12-22 01:11:55
12104,Kabel fiber Jalan Raya Kembangan terbakar menyebabkan pemadaman internet massal,Kabel Fiber,Jakarta Selatan,Berat,2025-07-29 00:18:26
12105,Drainase Jalan Meruya alirannya sedikit terhambat,Drainase,Jakarta Pusat,Ringan,2025-10-01 20:06:28
12106,Kerusakan trotoar Jalan Raya Pasar Minggu sangat parah ada lubang besar mengancam keselamatan,Trotoar,Jakarta Pusat,Berat,2025-05-20 21:21:12
12107,Jembatan Jalan Gajah Mada ada sedikit kerusakan minor di permukaan,Jembatan,Jakarta Pusat,Ringan,2025-09-27 20:39:06
12108,Kabel fiber di Jalan Mangga Dua putus menyebabkan gangguan internet warga,Kabel Fiber,Jakarta Timur,Sedang,2025-12-13 04:57:19
12109,Jembatan Jalan Sisingamangaraja kondisi memperihatinkan perlu diperbaiki secepatnya,Jembatan,Jakarta Utara,Sedang,2025-05-03 00:26:24
12110,Kerusakan masif trotoar Jalan Mangga Dua membahayakan jiwa pejalan kaki,Trotoar,Jakarta Utara,Berat,2025-11-16 17:34:18
12111,Saluran drainase Gang Melati perlu perawatan ringan sebelum musim hujan,Drainase,Jakarta Barat,Ringan,2025-06-16 07:54:52
12112,Badan jalan Jalan Raya Bekasi ambles sangat berbahaya terutama malam hari,Jalan,Kepulauan Seribu,Berat,2025-03-30 02:27:22
