deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan,tingkat_kerusakan_encoded
lampu penerangan di jalan muara baru kurang terang perlu diganti,lampu jalan,jakarta pusat,ringan,2025-08-02 14:33:13,0
kabel fiber jalan fatmawati sedikit terkelupas di bagian sambungan,kabel fiber,jakarta pusat,ringan,2025-09-22 20:19:28,0
jalan jalan warung buncit berlubang di beberapa titik cukup mengganggu,jalan,jakarta timur,sedang,2025-09-24 08:32:12,1
trotoar jalan pluit banyak ubin pecah sangat tidak nyaman dilalui,trotoar,jakarta utara,sedang,2025-01-08 08:33:53,1
lantai jembatan jalan warung buncit berlubang berbahaya bagi kendaraan,jembatan,jakarta utara,sedang,2025-06-15 06:27:59,1
jembatan jalan casablanca terancam roboh akibat banjir besar melanda,jembatan,jakarta selatan,berat,2025-06-22 09:44:43,2
ada kerusakan jalan di jalan rasuna said dengan lubang sedang,jalan,jakarta selatan,sedang,2025-01-28 09:56:16,1
ada sedikit sampah di area taman jalan sudirman,taman,kepulauan seribu,ringan,2025-10-05 15:11:32,0
jalan jalan rasuna said amblas parah dan sangat berbahaya bagi pengendara,jalan,jakarta pusat,berat,2025-01-20 00:12:07,2
lampu jalan jalan muara baru rusak dan jalan menjadi gelap berbahaya,lampu jalan,kepulauan seribu,sedang,2025-08-18 16:15:50,1
lampu jalan jalan gatot subroto meledak dan menyebabkan kebakaran kecil,lampu jalan,jakarta selatan,berat,2025-11-26 12:51:16,2
beton jembatan jalan hayam wuruk retak lebar perlu penanganan segera,jembatan,kepulauan seribu,sedang,2025-04-24 02:27:31,1
ubin trotoar jalan pluit banyak yang hilang meninggalkan lubang,trotoar,jakarta timur,sedang,2025-12-17 10:47:39,1
kabel fiber di jalan haji nawi putus menyebabkan gangguan internet warga,kabel fiber,jakarta pusat,sedang,2025-09-27 08:16:17,1
permukaan jl gang anggrek bergelombang dan berlubag,jalan,jakarta pusat,sedang,2025-01-18 17:42:36,1
retakan halus di aspal jalan jalan pramuka perlu perhatian,jalan,jakarta pusat,ringan,2025-06-24 18:13:01,0
tiang lampu jalan muara baru roboh hampir menimpa rumah warga,lampu jalan,jakarta pusat,berat,2025-04-06 20:02:29,2
permukaan jalan jalan fatmawati bergelombang dan berlubang,jalan,kepulauan seribu,sedang,2025-11-29 11:27:00,1
trotoar jalan pramuka ambles di beberapa titik berbahaya pejalan kaki,trotoar,jakarta selatan,sedang,2025-12-27 10:09:27,1
saluran air jalan pangeran jayakarta tersumbat dan bau tidak sedap menyebar,drainase,jakarta barat,sedang,2025-10-20 01:07:47,1
got utama jalan otista rusak parah banjir tidak bisa surut,drainase,jakarta selatan,berat,2025-06-06 06:53:58,2
jalur pejalan kaki di taman jalan gunung sahari rusak dan berlubang,taman,jakarta selatan,sedang,2025-11-02 04:38:38,1
kabel fiber jalan pluit terputus akibat tertimpa pohon,kabel fiber,jakarta timur,sedang,2025-11-20 12:24:12,1
jembatan jalan mangga dua bergetar berlebihan saat dilalui kendaraan,jembatan,jakarta timur,sedang,2025-04-01 19:52:57,1
badan jalan jalan pluit ambles sangat berbahaya terutama malam hari,jalan,kepulauan seribu,berat,2025-03-30 07:22:54,2
ada sedikit sampah di area taman jalan otista,taman,kepulauan seribu,ringan,2025-07-12 08:00:15,0
tiang lampu jalan jalan casablanca sedikit miring namun masih aman,lampu jalan,jakarta selatan,ringan,2025-01-15 19:41:37,0
laporan sistem drainase jalan raya kembangan kolaps total banjir mengancam pemukiman warga,drainase,jakarta pusat,berat,2025-02-26 11:17:51,2
jembatan jalan cengkareng bergetar berlebihan saat dilalui kendaraan,jembatan,jakarta selatan,sedang,2025-01-26 05:43:29,1
tanaman hias di taman gang anggrek perlu perawatan rutin,taman,jakarta timur,ringan,2025-04-30 05:01:07,0
beberapa tanaman di taman jalan mangga dua layu perlu disiram,taman,kepulauan seribu,ringan,2025-03-28 20:38:22,0
jalan jalan hayam wuruk berlubang di beberapa titik cukup mengganggu,jalan,jakarta timur,sedang,2025-04-03 17:58:20,1
beton jembatan jalan hayam wuruk patah sebagian sangat darurat,jembatan,jakarta timur,berat,2025-01-01 09:08:12,2
jalan jalan sudirman amblas dalam dan lebar sangat mengancam keselamatan,jalan,jakarta timur,berat,2025-02-22 17:08:44,2
ubin trotoar di jalan daan mogot mulai longgar tapi masih aman,trotoar,kepulauan seribu,ringan,2025-01-25 22:54:24,0
got jalan sudirman ada sedikit sampah yang menghambat aliran air,drainase,jakarta selatan,ringan,2025-09-05 01:19:33,0
instalasi kabel fiber di jalan gunung sahari rusak dan mengganggu layanan,kabel fiber,jakarta pusat,sedang,2025-02-26 22:02:36,1
jembatan jalan ahmad yani retak parah dan sangat berbahaya harus ditutup,jembatan,jakarta utara,berat,2025-04-30 01:58:22,2
taman jalan hayam wuruk tidak bisa digunakan semua infrastruktur rusak berat,taman,jakarta utara,berat,2025-05-17 09:45:28,2
got jalan raya bekasi retak dan bocor air merembes ke jalan,drainase,jakarta utara,sedang,2025-04-30 16:22:28,1
jalan jalan pramuka ada sedikit retak di pinggir badan jalan,jalan,kepulauan seribu,ringan,2025-08-20 14:56:13,0
jembatan jalan tb simatupang kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,jakarta timur,sedang,2025-10-26 16:47:09,1
seluruh jaringan kabel fiber di jalan pangeran jayakarta putus total tidak ada sinyal,kabel fiber,jakarta selatan,berat,2025-05-27 22:21:40,2
ada retakan tipis di permukaan jalan jalan hayam wuruk,jalan,jakarta selatan,ringan,2025-11-11 07:33:53,0
trotoar jalan tb simatupang hancur total tidak bisa digunakan pejalan kaki sama sekali,trotoar,jakarta pusat,berat,2025-02-12 02:34:10,2
pohon besar di taman jalan otista tumbang dan merusak fasilitas sekitar,taman,kepulauan seribu,berat,2025-08-05 21:12:48,2
laporan sambungan kabel fiber di jalan ahmad yani terputus layanan internet terganggu,kabel fiber,kepulauan seribu,sedang,2025-09-28 04:27:59,1
taman jalan pangeran jayakarta tidak terawat tanaman banyak yang mati,taman,kepulauan seribu,sedang,2025-05-28 04:37:22,1
saluran drainase di jalan panjang rusak menyebabkan air tergenang,drainase,kepulauan seribu,sedang,2025-02-17 10:11:55,1
pohon besar di taman jalan mangga dua tumbang dan merusak fasilitas sekitar,taman,jakarta selatan,berat,2025-06-12 20:29:43,2
beberapa bata trotoar jalan pangeran jayakarta retak ringan,trotoar,jakarta utara,ringan,2025-07-25 16:50:33,0
trotoar jalan sisingamangaraja ada satu dua ubin yang goyang sedikit berbahaya,trotoar,jakarta pusat,ringan,2025-11-24 02:21:57,0
kerusakan drainase di jalan rasuna said menyebabkan banjir bandang kecil,drainase,jakarta barat,berat,2025-06-19 01:15:03,2
ada lampu jalan di jalan ciledug raya yang sering mati hidup sendiri,lampu jalan,jakarta barat,ringan,2025-09-04 18:27:46,0
banjir merendam taman jalan pluit semua tanaman dan fasilitas rusak parah,taman,jakarta timur,berat,2025-12-28 19:21:54,2
saluran air jalan gajah mada tersumbat dan bau tidak sedap menyebar,drainase,jakarta utara,sedang,2025-05-09 23:32:29,1
infrastruktur lampu jalan di jalan raya bekasi hancur parah akibat kecelakaan,lampu jalan,kepulauan seribu,berat,2025-07-04 21:51:21,2
permukaan trotoar jalan daan mogot tidak rata berbahaya untuk lansia dan difabel,trotoar,jakarta pusat,sedang,2025-01-27 22:48:18,1
instalasi kabel fiber jalan tb simatupang kurang rapi mengganggu estetika,kabel fiber,jakarta timur,ringan,2025-09-18 09:37:47,0
kondisi trotoar jalan tb simatupang cukup memprihatinkan banyak kerusakan merata,trotoar,jakarta timur,sedang,2025-02-23 10:47:01,1
jalan jalan otista berlubang di beberapa titik cukup mengganggu,jalan,jakarta selatan,sedang,2025-09-19 04:41:16,1
lantai kayu jembatan jalan otista lapuk dan berlubang berbahaya,jembatan,kepulauan seribu,sedang,2025-05-14 22:18:02,1
instalasi kabel fiber jalan gatot subroto hancur total akibat tertimpa pohon besar tumbang,kabel fiber,jakarta barat,berat,2025-04-30 10:01:28,2
instalasi kabel fiber jalan kebon jeruk kurang rapi mengganggu estetika,kabel fiber,jakarta selatan,ringan,2025-07-20 11:22:50,0
saluran induk drainase jalan pramuka tersumbat total banjir meluas ke mana mana,drainase,jakarta pusat,berat,2025-06-20 22:51:49,2
trotoar jalan panjang hancur total tidak bisa digunakan pejalan kaki sama sekali,trotoar,jakarta utara,berat,2025-04-12 10:32:32,2
retakan halus di aspal jalan jalan haji nawi perlu perhatian,jalan,kepulauan seribu,ringan,2025-02-28 01:32:48,0
terdapat lubang sedang di jalan jalan muara baru yang mengganggu kendaraan,jalan,jakarta pusat,sedang,2025-12-05 21:09:28,1
tiang penyangga kabel fiber di jalan raya bekasi patah menimpa rumah warga,kabel fiber,jakarta barat,berat,2025-08-25 10:19:28,2
saluran drainase di jalan raya kembangan russk menyebabkan air tergenang,drainase,jakarta utara,sedang,2025-08-21 15:59:31,1
pagar pengaman jembatan jalan cengkareng sedikit berkarat sudah dilaporkan ke rt tapi belum ada respons,jembatan,jakarta timur,ringan,2025-05-12 18:55:11,0
terdapat lubang sangat besar di jalan jalan meruya membahayakan pengendara,jalan,jakarta selatan,berat,2025-06-10 22:07:08,2
taman jalan gatot subroto agak gersang perlu penambahan tanaman,taman,jakarta pusat,ringan,2025-04-17 14:09:54,0
beberapa kabel fiber di jalan meruya putus menyebabkan area mati sinyal,kabel fiber,jakarta selatan,sedang,2025-05-24 18:51:51,1
jalan jalan otista tidak rata dan berlubang menyebabkan kendaraan oleng,jalan,jakarta pusat,sedang,2025-04-16 19:30:39,1
pohon tumbang besar di taman gang anggrek sangat membahayakan warga sekitar,taman,jakarta utara,berat,2025-01-01 15:03:45,2
kabel fiber jalan sisingamangaraja menyebabkan kebakaran karena korsleting parah,kabel fiber,jakarta selatan,berat,2025-05-28 10:57:23,2
kabel fiber di jln raya bekasi putus menyebabkan gangguan internet warga dekat sekolah sd,kabel fiber,kepulauan seribu,sedang,2025-10-10 17:53:19,1
instalasi listrik lampu jalan jalan sudirman terbakar sangat berbahaya,lampu jalan,kepulauan seribu,berat,2025-10-23 23:26:29,2
kabel fiber jalan sudirman terputus akibat tertimpa pohon depan masjid,kabel fiber,jakarta utara,sedang,2025-05-30 23:54:57,1
jalur pejalan kaki di taman jalan ciledug raya rusak dan berlubang,taman,jakarta utara,sedang,2025-02-14 13:08:12,1
tiang lampu jalan jalan otista patah miring hampir jatuh ke jalan,lampu jalan,jakarta pusat,berat,2025-11-19 10:50:26,2
permukaan jalan gang melati mengelupas sedikit,jalan,kepulauan seribu,ringan,2025-11-28 15:07:09,0
lampu jalan jalan warung buncit meledak dan menyebabkan kebakaran kecil,lampu jalan,kepulauan seribu,berat,2025-06-12 18:14:21,2
tiang kabel fiber di jalan gatot subroto roboh menimpa kendaraan yang lewat,kabel fiber,kepulauan seribu,berat,2025-01-30 05:49:28,2
jalan gang dahlia hancur total akibat banjir membahayakan warga,jalan,kepulauan seribu,berat,2025-07-15 08:39:46,2
lantai jembatan jalan casablanca berlubang berbahaya bagi kendaraan,jembatan,jakarta pusat,sedang,2025-01-13 09:07:50,1
ada kerusakan jalan di jalan meruya dengan lubang sedang,jalan,kepulauan seribu,sedang,2025-03-30 04:31:09,1
jalan jalan pluit rusak sangat parah ada lubang besar mengancam jiwa,jalan,jakarta timur,berat,2025-11-16 12:23:12,2
jalan jalan ciledug raya berlubang di beberapa titik cukup mengganggu,jalan,jakarta utara,sedang,2025-02-10 11:07:44,1
jalan jalan raya bekasi rusak dengan lubang berdiameter 10 cm,jalan,kepulauan seribu,sedang,2025-11-07 08:06:31,1
ubin trotoar jalan cengkareng banyak yang hilang meninggalkan lubang,trotoar,jakarta utara,sedang,2025-11-27 01:03:21,1
sebagian besar trotoar jl ahmad yani rusak dan tidak layak digunakan,trotoar,jakarta barat,sedang,2025-05-31 11:21:35,1
kondisi jembatan jalan sisingamangaraja kritis hampir tidak layak digunakan darurat mutlak,jembatan,jakarta pusat,berat,2025-04-26 09:22:22,2
paving trotoar jalan pangeran jayakarta warnanya pudar perlu perawatan,trotoar,jakarta utara,ringan,2025-10-31 10:56:53,0
trotoar di jalan gunung sahari ada celah kecil antar ubin perlu diperbaiki,trotoar,kepulauan seribu,ringan,2025-06-30 13:51:11,0
instalasi listrik lampu jalan jalan mangga dua terbakar sangat berbahaya,lampu jalan,jakarta utara,berat,2025-02-14 17:42:13,2
kerusakan drainase di gang mawar menyebabkan banjir bandang kecil,drainase,kepulauan seribu,berat,2025-04-12 21:30:44,2
kerusakan massal kabel fiber di jalan gatot subroto menyebabkan wilayah luas tanpa internet,kabel fiber,jakarta barat,berat,2025-07-14 16:03:35,2
trotoar jalan mangga dua ambles di beberapa titik berbahaya pejalan kaki,trotoar,kepulauan seribu,sedang,2025-10-12 00:19:51,1
lampu taman di jalan ciledug raya mati sehingga taman gelap malam hari,taman,jakarta utara,sedang,2025-12-19 02:01:32,1
jalan jalan gunung sahari retak kecil akibat cuaca panas,jalan,kepulauan seribu,ringan,2025-07-25 22:03:18,0
kabel lampu jalan di jalan rasuna said tampak menjuntai berbahaya,lampu jalan,jakarta barat,sedang,2025-04-03 15:05:23,1
trotoar jalan kebon jeruk ambles di beberapa titik berbahaya pejalan kaki,trotoar,jakarta timur,sedang,2025-06-22 15:35:20,1
beton jembatan jalan daan mogot retak ringan di bagian pinggir,jembatan,jakarta barat,ringan,2025-03-03 20:45:37,0
rel pagar jembatan di jalan pramuka berkarat perlu perawatan,jembatan,jakarta barat,ringan,2025-08-19 07:14:25,0
lampu jalan di jalan ahmad yani redup tidak seterang biasanya,lampu jalan,jakarta selatan,ringan,2025-09-13 01:49:39,0
kabel fiber jalan mangga dua mengurai dan menggantung di tengah jalan,kabel fiber,jakarta timur,sedang,2025-11-08 02:42:43,1
permukaan jembatan gang dahlia mulai kasar dan tidak rata,jembatan,jakarta pusat,ringan,2025-07-02 16:36:56,0
trotoar gang melati ada retakan tipis di beberapa bagian,trotoar,jakarta utara,ringan,2025-09-17 17:22:41,0
cat jembatan di jalan tb simatupang mulai mengelupas perlu dicat ulang,jembatan,jakarta pusat,ringan,2025-11-01 02:02:23,0
jembatan jalan meruya kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,jakarta pusat,sedang,2025-06-26 17:12:38,1
saluran air taman jalan sudirman mampet menyebabkan genangan,taman,kepulauan seribu,sedang,2025-02-03 03:23:53,1
terdapat lubang sedang di jalan jalan meruya yang mengganggu kendaraan,jalan,jakarta timur,sedang,2025-04-06 01:10:25,1
permukaan trotoar jalan warung buncit tidak rata bhs untuk lansia dan difabel warga sekitar sudah mengeluh,trotoar,jakarta pusat,sedang,2025-05-02 01:39:45,1
saluran got jalan sudirman mulai menyempit karena endapan,drainase,jakarta timur,ringan,2025-04-22 21:46:15,0
pagar pengaman jembatan jalan sudirman sedikit berkarat,jembatan,jakarta barat,ringan,2025-12-07 18:27:15,0
taman jalan meruya hancur total akibat banjir semua fasilitas rusak,taman,kepulauan seribu,berat,2025-08-19 01:11:58,2
lampu jalan jalan sisingamangaraja cahayanya mulai memudar,lampu jalan,jakarta pusat,ringan,2025-01-22 21:56:15,0
kabel fiber di jalan ciledug raya rusak parah akibat korsleting,kabel fiber,jakarta barat,sedang,2025-09-18 20:28:33,1
taman jalan sudirman hancur dan perlu dibangun ulang dari awal,taman,jakarta timur,berat,2025-03-31 20:04:35,2
jalan jalan panjang amblas parah dan sangat berbahaya bagi pengendara,jalan,jakarta selatan,berat,2025-09-20 06:33:19,2
jembatan jalan pramuka patah di bagian tengah sangat berbahaya darurat,jembatan,jakarta timur,berat,2025-05-31 14:33:06,2
kondisi jalan jalan daan mogot kritis hampir tidak layak dilalui,jalan,jakarta utara,berat,2025-07-25 14:27:25,2
drainase jalan fatmawati alirannya sedikit terhambat,drainase,jakarta utara,ringan,2025-04-24 08:56:53,0
lampu jalan jalan gatot subroto meledak dan nyebabin kebakaran kecil anak anak sering lewat sini,lampu jalan,jakarta timur,berat,2025-03-24 00:34:14,2
instalasi kabel fiber jalan kebon jeruk kurang rapi mengganggu estetika,kabel fiber,kepulauan seribu,ringan,2025-05-17 22:05:11,0
lampu jl jalan rasuna said mati pada jam tertentu saja ini sudah lama dibiarkan,lampu jalan,kepulauan seribu,ringan,2025-05-06 23:49:25,0
ada kerusakan jalan di jalan pramuka dengan lubang sedang,jalan,jakarta selatan,sedang,2025-07-10 15:17:09,1
got besar di jln raya pasar minggu amblas menyebabkan jalan ikut rusak,drainase,jakarta utara,berat,2025-12-27 13:19:17,2
rel jembatan gang anggrek copot berbahaya bagi pengguna jalan,jembatan,kepulauan seribu,sedang,2025-01-09 14:41:35,1
beton jembatan gang dahlia retak ringan di bagian pinggir,jembatan,jakarta pusat,ringan,2025-04-25 21:48:10,0
lampu penerangan di jalan fatmawati kurang terang perlu diganti,lampu jalan,jakarta timur,ringan,2025-08-20 13:26:15,0
jalan jalan panjang rusak dengan lubang berdiameter 3 cm,jalan,jakarta timur,sedang,2025-08-20 20:20:33,1
tiang lampu jalan jalan pluit patah miring hampir jatuh ke jalan,lampu jalan,jakarta utara,berat,2025-02-22 22:35:30,2
pemasangan kabel fiber di jalan tb simatupang tidak rapi menggantung rendah,kabel fiber,jakarta barat,ringan,2025-08-27 09:17:39,0
drainase jalan raya bekasi tersumbat menyebabkan genangan air saat hujan,drainase,jakarta pusat,sedang,2025-10-06 09:24:33,1
kabel lampu jalan di jalan pluit tampak menjuntai berbahaya,lampu jalan,jakarta timur,sedang,2025-08-22 02:19:59,1
beberapa bata trotoar jalan pramuka retak ringan sudah 2 minggu belum diperbaiki,trotoar,jakarta barat,ringan,2025-05-13 19:13:50,0
cat jembatan di jalan pluit mulai mengelupas perlu dicat ulang,jembatan,jakarta barat,ringan,2025-10-20 22:21:15,0
taman gang melati hancur total akibat banjir semua fasilitas rusa,taman,jakarta barat,berat,2025-02-26 10:21:51,2
drainase jalan daan mogot meluap saat hujan deras meski sebentar,drainase,kepulauan seribu,sedang,2025-07-13 09:41:09,1
kabel fiber di tiang jalan gatot subroto terlihat longgar,kabel fiber,kepulauan seribu,ringan,2025-04-20 08:00:09,0
ada sedikit sampah di area taman jl gatot subroto,taman,jakarta timur,ringan,2025-11-13 18:48:00,0
lantai jembatan jalan raya pasar minggu ada retakan tipis perlu pengecekan,jembatan,kepulauan seribu,ringan,2025-09-19 12:17:49,0
permukaan trotoar gang melati tidak rata berbahaya untuk lansia dan difabel,trotoar,jakarta utara,sedang,2025-10-13 12:26:42,1
lubang besar di jalan gang mawar sangat berbahaya bisa menyebabkan kecelakaan,jalan,kepulauan seribu,berat,2025-09-03 03:42:34,2
kabel fiber gang mawar terlilit dan putus akibat kendaraan besar,kabel fiber,jakarta utara,sedang,2025-03-27 04:36:50,1
trotoar jalan muara baru banyak ubin pecah sangat tidak nyaman dilalui,trotoar,jakarta pusat,sedang,2025-03-08 21:49:41,1
saluran got di jalan gunung sahari mampet total air meluap ke jalan,drainase,jakarta utara,sedang,2025-11-29 20:08:17,1
taman jalan sudirman rusak berat akibat vandalisme parah butuh renovasi total,taman,jakarta timur,berat,2025-07-18 15:08:11,2
lampu jalan jalan pramuka kabelnya terkelupas berbahaya bila hujan,lampu jalan,jakarta pusat,sedang,2025-01-08 14:13:14,1
kabel lampu jalan di jalan muara baru tampak menjuntai berbahaya,lampu jalan,kepulauan seribu,sedang,2025-08-23 17:49:17,1
trotoar jalan haji nawi tidak bisa digunakan sama sekali kondisi darurat,trotoar,jakarta pusat,berat,2025-01-13 21:45:04,2
jembatan jalan raya bekasi ada retakan kecil di permukaan beton,jembatan,jakarta timur,ringan,2025-04-17 13:31:58,0
jembatan jalan hayam wuruk retak parah dan sangat berbahaya harus ditutup,jembatan,jakarta pusat,berat,2025-05-23 16:20:31,2
tiang kabel fiber jalan meruya roboh dan kabel berantakan di jalan sangat berbahaya,kabel fiber,jakarta pusat,berat,2025-09-08 01:59:16,2
jl jalan sudirman rusak sngat parah ada lubang besar mengancam jiwa samping pom bensin,jalan,jakarta utara,berat,2025-06-11 18:24:43,2
aspal di atas jembatan jalan daan mogot retak tipis perlu penambalan,jembatan,jakarta pusat,ringan,2025-06-22 14:42:25,0
kabel lampu jalaan jalan meruya putus dan terurai berbahaya menyetrum,lampu jalan,kepulauan seribu,berat,2025-11-27 21:58:50,2
got besar di jalan casablanca amblas menyebabkan jalan ikut rusak,drainase,jakarta barat,berat,2025-06-27 14:32:24,2
sebagian besar trotoar jalan gajah mada rusak dan tidak layak digunakan,trotoar,kepulauan seribu,sedang,2025-09-22 00:03:56,1
kabel fiber jalan gajah mada sedikit terkelupas di bagian sambungan,kabel fiber,jakarta pusat,ringan,2025-06-11 02:54:47,0
jembatan jalan sudirman terancam roboh akibat banjir besar melanda,jembatan,jakarta timur,berat,2025-03-30 12:40:47,2
area bermain anak di taman jalan ciledug raya fasilitasnya banyak rusak,taman,kepulauan seribu,sedang,2025-08-21 13:16:40,1
jembatan jalan tb simatupang terancam roboh akibat banjir besar melanda,jembatan,jakarta utara,berat,2025-05-31 19:16:13,2
trotoar jalan muara baru ada satu dua ubin yang goyang sedikit berbahaya,trotoar,jakarta pusat,ringan,2025-07-30 07:10:29,0
lampu jalan jalan casablanca cahayanya mulai memudar,lampu jalan,jakarta pusat,ringan,2025-01-12 13:06:16,0
pagar jembatan di gang mawar rusak dan membahayakan pejalan kaki,jembatan,jakarta selatan,sedang,2025-07-12 06:56:16,1
tiang lampu jalan di jalan hayam wuruk patah akibat ditabrak kendaraan,lampu jalan,kepulauan seribu,berat,2025-05-06 01:03:18,2
taman jalan gunung sahari rusak berat akibat vandalisme parah butuh renovasi total,taman,jakarta selatan,berat,2025-03-03 21:32:27,2
taman jalan gajah mada hancur total akibat banjir semua fasilitas rusak,taman,jakarta timur,berat,2025-08-09 14:45:06,2
rel pagar jembatan di jalan pangeran jayakarta berkarat perlu perawatan,jembatan,jakarta selatan,ringan,2025-06-05 01:15:20,0
tiang lampu jl jalan sudirman roboh sagnat berbahya menghalangi jalan ini jalan protokol yang ramai,lampu jalan,jakarta pusat,berat,2025-02-21 18:05:36,2
saluran air jalan meruya tersumbat dan bau tidak sedap menyebar,drainase,jakarta barat,sedang,2025-09-12 21:42:01,1
lampu penerangan di jalan haji nawi kurang terang perlu diganti,lampu jalan,jakarta barat,ringan,2025-06-14 11:40:06,0
kerusakan trotoar jalan sudirman sangat parah ada lubang besar mengancam keselamatan,trotoar,jakarta pusat,berat,2025-04-08 10:56:54,2
drainase gang dahlia kurang bersih perlu segera diperhatikan,drainase,jakarta pusat,ringan,2025-09-11 01:34:05,0
tiang kabel fiber jalan daan mogot miring hampir roboh,kabel fiber,kepulauan seribu,sedang,2025-11-09 06:58:11,1
jembatan jalan raya pasar minggu kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,jakarta barat,sedang,2025-03-23 18:32:55,1
kabel fiber jalan raya kembangan tergantung rendah berbahaya bagi kendaraan tinggi,kabel fiber,jakarta utara,sedang,2025-08-29 13:26:45,1
pohon besar di taman jalan haji nawi tumbang dan merusak fasilitas sekitar,taman,jakarta timur,berat,2025-04-06 15:42:37,2
taman jalan mangga dua tidak bisa digunakan semua infrastruktur rsak berat,taman,jakarta barat,berat,2025-12-23 01:49:17,2
got jalan gunung sahari penuh sampah dan lumpur tidak bisa mengalir samping pom bensin,drainase,jakarta selatan,sedang,2025-03-07 06:35:06,1
tiang lampu jalan jalan muara baru sedikit miring namun masih aman warga sekitar sudah mengeluh,lampu jalan,jakarta timur,ringan,2025-01-13 01:58:47,0
tiang lampu jalan jalan gajah mada patah miring hampir jatuh ke jalan,lampu jalan,jakarta pusat,berat,2025-09-20 02:47:52,2
jembatan jalan tb simatupang ada sedikit getaran saat dilalui kendaraan berat,jembatan,jakarta barat,ringan,2025-08-02 01:23:09,0
kerusakan masif trotoar jalan muara baru membahayakan jiwa pejalan kaki,trotoar,jakarta timur,berat,2025-03-20 02:33:17,2
trotoar jalan tb simatupang runtuh dan menimbulkan lubang besar di pinggir jalan,trotoar,jakarta barat,berat,2025-06-15 20:49:53,2
jalan jalan mangga dua rusak sangat parah ada lubang besar mengancam jiwa,jalan,jakarta selatan,berat,2025-05-19 13:23:39,2
banyak lubang kecil sedang di badan jalan jalan sisingamangaraja,jalan,jakarta utara,sedang,2025-10-01 10:54:08,1
lampu jln jalan mangga dua cahayanya mulai memudar,lampu jalan,jakarta pusat,ringan,2025-08-01 22:11:22,0
beberapa tanaman di taman jalan raya kembangan layu perlu disiram,taman,jakarta pusat,ringan,2025-10-20 13:06:07,0
jalan jalan raya bekasi amblas sedikit dan berlubang,jalan,jakarta selatan,sedang,2025-05-07 10:57:32,1
taman gang dahlia hancur dan perlu dibangun ulang dari awal,taman,jakarta barat,berat,2025-04-02 09:55:00,2
jembatan jalan rasuna said ada bagian yang ambles nggak rata,jembatan,jakarta utara,sedang,2025-11-16 15:46:57,1
trotoar di jalan fatmawati hancur akibat banjir pejalan kaki tidak bisa lewat,trotoar,jakarta barat,berat,2025-12-24 11:07:14,2
beberapa pot tanaman di taman jalan ahmad yani retak kecil,taman,jakarta selatan,ringan,2025-01-14 02:00:38,0
lantai kayu jembatan gang dahlia lapuk dan berlubang berbahaya,jembatan,jakarta timur,sedang,2025-03-29 04:06:25,1
saluran drainase jalan raya pasar minggu perlu perawatan ringan sebelum musim hujan,drainase,jakarta pusat,ringan,2025-09-19 14:18:21,0
saluran drainase jalan meruya perlu perawatan ringan sebelum musim hujan,drainase,jakarta pusat,ringan,2025-04-27 14:07:18,0
kap lampu jalan di jalan fatmawati kotor mengurangi pencahayaan,lampu jalan,jakarta timur,ringan,2025-08-08 04:02:18,0
permukaan trotoar gang mawar tidak rata berbahaya untuk lansia dan difabel,trotoar,jakarta utara,sedang,2025-04-03 19:08:28,1
drainase jalan fatmawati meluap saat hujan deras meski sebentar,drainase,jakarta utara,sedang,2025-05-08 02:11:26,1
tiang lampu jalan ciledug raya roboh hampir menimpa rumah warga,lampu jalan,jakarta timur,berat,2025-07-14 11:25:54,2
saluran got jalan ciledug raya mulai menyempit karena endapan,drainase,kepulauan seribu,ringan,2025-01-06 07:12:25,0
kondisi trotoar jalan mangga dua cukup memprihatinkan banyak kerusakan merata,trotoar,jakarta barat,sedang,2025-02-14 11:21:32,1
trotoar jalan cengkareng hancur total tidak bisa digunakan pejalan kaki sama sekali,trotoar,jakarta barat,berat,2025-01-14 04:16:29,2
jembatan jalan raya bekasi hampir roboh sangat mengancam keselamatan jiwa,jembatan,jakarta pusat,berat,2025-06-11 10:09:26,2
jalan jalan kebon jeruk retak kecil akibat cuaca panas,jalan,kepulauan seribu,ringan,2025-08-31 04:57:03,0
beberapa pot tanaman di taman jalan muara baru retak kecil,taman,jakarta timur,ringan,2025-11-08 12:40:57,0
got besar di gang mawar amblas menyebabkan jln ikut rusak,drainase,jakarta selatan,berat,2025-08-24 01:09:29,2
jalan jalan sisingamangaraja tidak rata dan berlubang menyebabkan kendaraan oleng,jalan,kepulauan seribu,sedang,2025-12-11 03:00:00,1
lampu jalan jalan cengkareng rusak dan jalan menjadi gelap berbahaya,lampu jalan,jakarta utara,sedang,2025-06-29 23:54:53,1
trotoar jalan raya pasar minggu tidak bisa digunakan sama sekali kondisi darurat,trotoar,jakarta timur,berat,2025-11-30 13:35:31,2
kondisi taman jalan pramuka sangat memperihatinkan rusak total perlu penanganan segera,taman,jakarta timur,berat,2025-01-14 18:00:20,2
kerusakan struktural jembatan jalan haji nawi sangat kritis bahaya roboh,jembatan,jakarta utara,berat,2025-08-31 02:49:04,2
jembatan jalan kebon jeruk kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,kepulauan seribu,sedang,2025-03-03 22:33:05,1
